,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
639,824307,1266,-102.275,-102.275,SUPERFICIAL
683,825023,1267,-104.62972272222221,-104.62972272222221,SUPERFICIAL
722,825369,1268,-102.07500016666667,-102.07500016666667,SUPERFICIAL
723,825369,1269,-102.06472238888888,-102.06472238888888,SUPERFICIAL
724,825369,1270,-102.07249997222222,-102.07249997222222,SUPERFICIAL
750,825497,1271,-102.15083341666667,-102.15083341666667,SUPERFICIAL
793,825853,1272,-102.02861144444444,-102.02861144444444,SUPERFICIAL
809,826146,1273,-102.61250016666666,-102.61250016666666,SUPERFICIAL
971,830221,1274,-102.50111177777778,-102.50111177777778,SUPERFICIAL
978,830259,1275,-102.24444444444444,-102.24444444444444,SUPERFICIAL
982,830283,1276,-104.02361194444444,-104.02361194444444,SUPERFICIAL
983,830283,1277,-104.02222305555556,-104.02222305555556,SUPERFICIAL
987,830291,1278,-103.11527844444444,-103.11527844444444,SUPERFICIAL
1007,831657,1279,-104.76388936111111,-104.76388936111111,SUPERFICIAL
1017,831771,1280,-103.9452783888889,-103.9452783888889,SUPERFICIAL
1018,831772,1281,-102.48388938888888,-102.48388938888888,SUPERFICIAL
1019,831772,1282,-102.48861177777778,-102.48861177777778,SUPERFICIAL
1020,831772,1283,-102.32222288888889,-102.32222288888889,SUPERFICIAL
1032,831996,1284,-103.46055572222222,-103.46055572222222,SUPERFICIAL
